"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"HU_ADS_01"	"HU_ADS_02"	"HU_ADS_03"	"HU_ADS_04"	"HU_ADS_05"	"HU_ADS_06"	"HU_ADS_07"	"HU_ADS_08"	"HU_ADS_09"	"HU_ADS_10"	"HU_ADS_11"	"HU_ADS_12"	"HU_ADS_13"	"HU_ADS_14"	"HU_ADS_15"	"HU_ADS_16"	"HU_ADS_17"	"HU_ADS_18"	"HU_ADS_19"	"HU_ADS_20"	"AT01_01"	"AT01_02"	"AT01_03"	"AT01_04"	"AT01_05"	"AT01_06"	"AT01_07"	"AT01_08"	"AT01_09"	"AT01_10"	"AT01_11"	"AT01_12"	"AT01_13"	"AT01_14"	"AT01_15"	"AT01_16"	"AT01_17"	"AT01_18"	"BF01_01"	"BF01_02"	"BF01_03"	"BF01_04"	"BF01_05"	"BF01_06"	"BF01_07"	"BF01_08"	"BF01_09"	"BF01_10"	"BF01_11"	"BF01_12"	"BF01_13"	"BF01_14"	"BF01_15"	"BF01_16"	"BF01_22"	"BF01_17"	"BF01_18"	"BF01_19"	"BF01_20"	"BF01_21"	"CN01"	"CN02"	"CN03"	"CN04_01"	"CN05"	"CN06_01"	"CN09"	"CN15"	"CS01_01"	"CS01_02"	"CS01_03"	"CS01_04"	"CS01_05"	"CS01_06"	"CS01_07"	"CS01_08"	"CS01_09"	"CS01_10"	"CS01_11"	"CS01_12"	"CS01_13"	"CS01_14"	"CS01_25"	"CS01_15"	"CS01_16"	"CS01_17"	"CS01_18"	"CS01_19"	"CS01_20"	"CS01_21"	"CS01_22"	"CS01_23"	"CS01_24"	"DG02"	"DM01_01"	"DM02"	"DM03"	"DM06"	"DM07"	"DM07_01"	"DM07_02"	"DM07_03"	"DM07_04"	"DM07_05"	"DM07_06"	"DM07_07"	"DM07_08"	"DM08_01"	"DM09_01"	"DM10_01"	"DM11_01"	"DM12_01"	"DT01_01"	"DT01_02"	"DT01_03"	"DT01_04"	"DT01_05"	"DT01_06"	"DT01_07"	"DT01_08"	"GS01_07"	"GS01_09"	"GS01_18"	"GS01_24"	"GS01_25"	"GS01_27"	"GS01_30"	"GS01_31"	"GS01_35"	"GS01_38"	"IF01"	"IN02_01"	"JF02_01"	"JF02_02"	"JF02_03"	"JF02_04"	"JF02_05"	"JF02_06"	"JF02_07"	"JF03_01"	"JF04_01"	"JF05_01"	"JF06_01"	"PT01_04"	"PT01_10"	"PT01_16"	"PT01_20"	"PT01_23"	"PT01_24"	"SA01_01"	"SA01_02"	"SA01_03"	"SA01_04"	"SA01_05"	"SA01_06"	"SA01_07"	"SA01_08"	"SA01_09"	"SA01_10"	"SA01_11"	"SA01_12"	"SA01_13"	"SA01_14"	"SA01_15"	"SA01_16"	"SA01_17"	"SA01_18"	"SA01_19"	"SA01_20"	"SC06_01"	"SC06_02"	"SC06_08"	"SC06_04"	"SC12_01"	"SC12_02"	"SC12_08"	"SC12_04"	"SC13_01"	"SC13_02"	"SC13_08"	"SC13_04"	"SC14_01"	"SC14_02"	"SC14_08"	"SC14_04"	"SC15_01"	"SC15_02"	"SC15_08"	"SC15_04"	"SC07_09"	"SC07_10"	"SC07_11"	"SC07_12"	"SC16_09"	"SC16_10"	"SC16_11"	"SC16_12"	"SC17_09"	"SC17_10"	"SC17_11"	"SC17_12"	"SC18_09"	"SC18_10"	"SC18_11"	"SC18_12"	"SC19_09"	"SC19_10"	"SC19_11"	"SC19_12"	"SC08_13"	"SC08_14"	"SC08_15"	"SC08_16"	"SC20_13"	"SC20_14"	"SC20_15"	"SC20_16"	"SC21_13"	"SC21_14"	"SC21_15"	"SC21_16"	"SC22_13"	"SC22_14"	"SC22_15"	"SC22_16"	"SC23_13"	"SC23_14"	"SC23_15"	"SC23_16"	"SL04_01"	"SL04_02"	"SL04_08"	"SL04_04"	"SL04_09"	"SL04_10"	"SL05_01"	"SL05_02"	"SL05_03"	"SL05_04"	"SL05_05"	"SL05_06"	"SX02_01"	"SX02_02"	"SX02_03"	"SX02_04"	"SX02_05"	"SX02_06"	"SX02_07"	"SX02_08"	"SX02_09"	"SX02_10"	"ZU01_01"	"ZU01_02"	"ZU01_03"	"ZU01_04"	"ZU02_01"	"ZU02_02"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME023"	"TIME024"	"TIME025"	"TIME026"	"TIME027"	"TIME028"	"TIME029"	"TIME030"	"TIME031"	"TIME032"	"TIME033"	"TIME034"	"TIME035"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"STATUS"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"
189			"base"	"interview"	2026-05-11 09:05:34	1	1	1	1	2	2	2	3	2	2	1	3	1	2	1	3	1	2	1	2	4	3	3	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	5	2	5	3	4	3	3	2	3	3	5	4	3	3	3	1	5	4	5	3	3	2	7	7	2		1		1	2	1	3	5	1	3	1	3	3	4	1	1	4	4	3	1	3	5	1	1	5	1	1	1	2	5	1	54	1	1	7	1	F	F	F	T	F	F	F	F			"Tonmeister im Theater"	"35"		3	3	2	5	6	3	2	4	4	4	4	4	3	3	3	2	2	3	1	100	2	1	6	3	5	4	7	5	5	"Das größte Problem ist die Abhängigkeit von Technik. Wenn etwas nicht funktioniert wird es immer schwieriger den Fehler zu finden. Je komplexer Technologie ist, desto machtloser ist der Mensch bei Fehlfunktionen. "	"Das ist momentan noch nicht absehbar. Bislang führten technische Neuerungen in meinem Bereich eher zu mehr Personalbedarf. "	1	1	1	1	1	1	2	3	1	2	3	2	3	2	2	2	2	2	1	3	2	2	2	3	3	2	15	8	80	80	14	9	56	62	1	1	79	79	1	1	78	77	14	12	72	68	1	1	26	49	8	7	11	52	1	1	27	49	1	1	24	52	1	1	29	50	101	1	1	77	53	65	1	52	101	1	1	75	101	1	1	79	101	25	1	71	101	101	68	53	101	1	1	101	101	49	1	1	1	1	3	1	1	1	2	1	1	1	"4"	"2"	"1"	"3"	"1"	"2"	17	29	39	97	54	24	247	4	28	2	34	3	176	90	76	136	96	7	91	70	3	64	39	98	104	56	90	114	64	82	408	24	22		3	2256		2026-05-11 09:47:06		T	F	35	35	0	0	0.67
190			"base"	"interview"	2026-05-11 09:06:55	2	1	2	4	1	2	3	4	2	3	3	3	1	4	1	4	1	2	2	2	2	1	4	4	2	3	5	5	1	2	4	2	3	3	2	3	3	2	3	2	5	4	4	1	5	1	1	4	1	5	5	5	4	3	5	5	4	5	5	1	1	1	2		1	"ich bin jetzt doch schneller als 45 Minuten gewesen?!....Aber ich habe den Fragebogen nach bestem Wissen und Gewissen ausgefüllt!"	1	2	4	2	3	1	3	3	4	4	4	1	2	3	3	4	1	4	4	5	5	4	5	2	4	3	4	1	54	2	2	6	1	F	F	F	T	F	F	F	F			"Gesundheitswesen/Pflege"	"38"		1	1	1	2	1	1	3	1	3	3	4	3	1	2	3	3	4	1	1	101	1	6	7	5	3	4	2	2	3	"Im persönlichen Bereich sehe ich, dass KI z.B. doch sehr fehlerhaft ist und man sich auf manche Antworten einfach nicht verlassen darf.
Ich muss Informationen dann praktisch öfters verifizieren. Das sehe ich als Hürde, für eine Antwort auf eine Frage, habe ich dann praktisch die doppelte Arbeit."	"Da ich Menschen betreue, mich mit ihnen beschäftige, als menschliche Person agiere, sehe ich jetzt keine große Bedrohung. Denn eine KI, die so nett und lieb ist wie ich, gibt es momentan noch nicht.
Ich mache aber auch GIG Work und da sehe ich eine Bedrohung, KI kann mich in diesem Feld ersetzen oder macht mich überflüssig.
Ich habe sie praktisch mit meiner Arbeit ""gefüttert"", dass sie selbstständig arbeiten kann, durch das Einsprechen von Sprache, durch Daten Eingabe, Beurteilung von Sprache etc. Man braucht meine Arbeit dann irgendwann nicht mehr."	1	1	1	1	2	4	1	2	2	3	1	2	1	3	2	1	3	4	1	3	2	1	2	4	2	3	40	21	73	92	1	1	95	101	8	12	83	101	25	13	85	101	1	1	90	101	1	89	101	2	1	101	101	12	11	101	101	4	1	101	101	7	1	101	101	10	76	64	72	42	1	101	37	1	48	61	37	35	45	54	33	23	45	66	38	1	101	101	49	12	101	1	1	101	101	54	9	1	2	2	4	4	2	2	3	2	1	2	"1"	"3"	"4"	"2"	"2"	"1"	7	51	5	19	40	48	10	2	11	1	17	2	77	101	107	56	58	6	142	64	6	59	27	48	58	23	65	90	32	58	674	20	71		61	2058		2026-05-11 09:42:11		T	F	35	35	0	0	0.99
191			"base"	"interview"	2026-05-11 09:07:06	2	1	1	2	1	2	2	3	1	1	2	2	2	2	2	2	1	2	1	1	4	4	4	2	3	3	3	4	2	4	3	3	3	2	2	3	3	4	4	3	4	2	4	3	4	4	5	4	3	3	4	4	3	2	5	3	4	4	3	4	6	6	2		1	"Ich mag KI beruflich, wenn sie unterstützend statt ersetzend eingesetzt wird"	1	1	3	4	3	1	3	3	3	4	4	3	2	4	2	5	1	4	3	3	3	3	4	2	3	4	4	1	28	1	1	8	1	F	F	F	T	F	F	F	F			"Revenue Operations in einem Software-Unternehmen"	"32"		4	2	7	3	2	6	2	5	5	4	5	4	3	4	4	4	5	3	1	48	2	7	6	1	3	4	5	4	4	"Angst in der Gesellschaft vor Neuem und mangelnde Kompetenz die Quellen der KI zu verstehen bzw. zu hinterfragen. "	"Ja, theoretisch sind fast alle ""Büro-Jobs"" bedroht."	3	2	4	2	4	4	3	2	1	2	2	3	3	2	2	3	2	3	3	2	2	3	2	2	3	1	8	2	97	98	1	1	97	98	49	7	92	90	51	5	98	98	5	2	100	89	26	83	80	42	2	100	100	50	7	83	82	54	6	100	96	55	3	92	92	51	92	71	76	93	8	101	51	1	95	60	15	94	92	8	5	95	89	77	6	54	85	92	51	52	28	15	52	66	60	62	28	1	2	1	3	4	1	2	3	1	2	2	"2"	"1"	"3"	"4"	"1"	"2"	23	41	15	17	42	6	5	3	23	4	17	2	75	103	103	64	63	7	72	47	10	50	33	71	69	46	81	84	44	66	213	14	39		21	1555		2026-05-11 09:33:19		T	F	35	35	0	0	0.9
192			"base"	"interview"	2026-05-11 09:07:30	3	1	2	4	4	4	4	4	3	4	4	4	4	3	3	4	4	4	1	2	3	2	3	4	4	5	5	2	4	1	5	3	3	3	3	2	4	4	5	2	4	3	4	2	2	4	3	5	5	4	4	4	2	4	5	2	3	3	2	5	4	4	2		1		1	2	1	3	2	1	4	4	4	5	5	2	3	2	2	4	1	5	4	1	2	5	2	2	1	3	4	1	30	1	1	6	1	F	F	F	T	F	F	F	F			"Verwaltung"	"38"		1	7	4	2	2	4	1	1	4	2	4	2	2	5	4	3	3	4	1	98	1	6	7	5	2	3	4	2	4	"Oft werden einem neue Technologien nicht gut genug erklärt. Man bekommst sie an die Hand und soll damit arbeiten, aber viele Schulungen oder Gespräche mit Fachkräften bekommt man meist nicht. Es ist eher ein Learning by doing mit den Kollegen und wie man es für sich selbst am sinnvollsten hält."	"Ja, man hört es immer wieder in der Gesellschaft, das in ein paar Jahren KI viele Jobs übernehmen wird. Natürlich macht man sich Gedanken und fühlt sich unsicher, ob man eventuell einen neuen Job lernen muss oder sogar Arbeitslos wird."	3	1	3	2	1	5	3	3	2	2	2	2	4	2	3	3	2	3	4	2	2	3	2	1	3	2	1	24	59	28	14	23	77	45	3	24	68	45	6	1	79	86	8	12	55	50	24	76	101	29	1	101	101	10	11	94	101	4	1	89	92	26	11	82	101	12	74	63	86	66	1	98	7	1	74	29	29	79	100	10	10	90	83	93	82	52	101	101	20	55	92	19	33	60	66	99	72	1	2	1	4	4	2	1	3	2	3	2	"2"	"3"	"4"	"1"	"1"	"2"	6	12	12	15	18	42	12	2	8	1	25	2	82	46	53	56	453	19	51	39	5	47	44	97	83	43	134	94	57	66	186	21	14		7	1461		2026-05-11 09:38:22		T	F	35	35	0	0	1
193			"base"	"interview"	2026-05-11 09:07:31	3	2	2	4	3	3	3	2	2	4	4	2	1	3	1	2	1	2	1	1	1	1	1	5	3	5	3	3	4	2	4	2	2	1	1	3	4	4	5	2	5	5	5	4	3	2	1	5	5	4	5	5	5	1	5	4	4	5	5	2	3	3	2		1		1	2	3	4	5	5	5	5	4	5	2	2	4	4	5	2	1	2	5	2	3	1	1	1	3	1	1	1	33	2	2	8	1	F	F	F	T	F	F	F	F			"E-Commerce Account Management "	"40"		1	1	4	3	1	4	1	2	3	2	5	4	1	6	4	4	5	1	1	17	4	7	6	2	1	3	5	1	5	"Selbst die KI schätzt, dass in vielen Team 7 von 10 Personen durch Einführung von KI entlassen werden. Ich fürchte mich vor Arbeitslosigkeit und einer wirtschaftlichen Katastrophe. "	"absolut"	2	1	1	1	1	5	2	3	3	3	2	2	1	4	4	2	3	4	1	4	3	2	3	4	1	4	39	1	68	12	25	11	5	1	18	1	62	1	16	7	89	30	5	1	101	52	7	101	101	42	1	101	101	24	9	99	101	30	1	101	101	84	1	101	101	92	1	51	101	1	1	101	18	7	94	12	71	19	100	1	16	30	79	61	34	15	87	96	101	6	101	7	1	93	101	19	4	1	2	2	4	4	1	2	3	1	3	1	"4"	"1"	"2"	"3"	"1"	"2"	131	25	16	20	27	5	4	2	15	3	15	1	140	74	74	68	50	9	57	44	7	27	29	66	56	28	59	80	39	58	142	19	9		2	1280		2026-05-11 09:30:52		T	F	35	35	0	0	1.15
194			"base"	"interview"	2026-05-11 09:07:34	1	1	1	1	1	1	1	3	1	1	2	2	1	1	1	2	1	1	1	1	5	4	5	1	1	1	4	2	4	2	3	3	3	3	3	3	3	3	5	2	5	2	5	4	2	1	4	4	4	3	5	2	4	3	5	2	5	2	4	1	3	2	2		1		1	2	3	3	2	2	5	1	1	3	4	1	2	5	2	4	1	4	1	3	3	4	4	2	1	4	5	1	43	2	2	4	1	F	F	F	T	F	F	F	F			"Pflegehilfskraft"	"40"		1	1	1	1	1	1	1	1	5	5	6	5	5	5	5	4	5	1	1	101	4	5	6	2	1	3	7	3	4	"Zu geringe Kenntnisse, Abhängigkeit von der Technik, Fehleranfälligkeit, Bedenken hinsichtlich des Datenschutzes"	"Nein."	1	1	1	1	1	5	3	1	1	1	1	3	3	1	1	3	1	2	3	1	1	3	2	1	3	1	1	1	91	101	1	1	47	40	1	1	80	100	1	1	38	36	6	4	55	56	1	101	101	86	1	72	100	59	1	69	101	68	25	76	84	45	17	62	96	56	101	38	11	101	1	101	48	1	101	6	8	93	40	40	50	39	43	53	13	24	85	86	15	1	101	1	11	101	86	48	19	1	1	1	2	2	1	1	2	1	1	1	"1"	"2"	"4"	"3"	"2"	"1"	18	10	11	15	31	21	6	1	11	1	16	2	72	67	58	61	49	5	89	50	5	26	26	42	48	16	42	78	27	101	168	26	282		4	1214		2026-05-11 09:32:19		T	F	35	35	0	0	1.23
195			"base"	"interview"	2026-05-11 09:07:51	1	1	2	2	1	1	2	2	2	2	1	2	2	1	1	2	1	1	1	2	4	4	4	2	3	2	3	4	3	4	3	4	4	4	5	4	2	2	2	2	4	2	4	4	4	2	4	3	2	2	4	4	3	4	5	2	4	2	3	4	5	6	2		1	"Danke für diese Studie die Teilnahme hat mir Spaß gemacht :)"	1	1	4	2	3	4	4	4	2	2	3	5	1	4	2	3	1	4	3	4	4	4	3	2	5	3	4	1	24	1	1	4	1	F	F	F	T	F	F	F	F			"Lebensmittelindustrie"	"42"		2	2	3	2	2	3	3	1	5	4	5	4	4	4	5	5	5	2	1	101	4	2	5	1	3	6	7	4	5	"Ich persönlich sehe nicht so viele hürden für den Umgang mit neuerungen wie KI oder Modernisierte Anlagen. Klar kann es ganz am anfang zu problemen kommen ich bin aber davon überezugt das das schnell gut in die Systeme intigriert werden kann"	"Eher nicht ich glaube bei uns würden Technische Neuerungen eher unterstützend wirken als Arbeitsplätze gefährden."	1	2	2	1	2	4	3	2	1	2	2	3	4	2	3	4	1	2	3	3	2	3	2	2	3	2	31	32	71	72	43	39	48	49	39	44	51	53	29	27	68	68	46	40	54	61	17	81	84	51	42	71	91	49	33	86	89	61	37	63	66	55	31	54	54	61	74	36	31	62	23	87	76	24	52	52	54	45	90	28	26	67	50	73	33	44	64	65	39	39	49	1	39	64	75	76	52	22	2	1	3	2	1	2	2	1	1	2	"2"	"4"	"3"	"1"	"1"	"2"	9	50	12	25	40	18	30	3	77	4	19	2	105	66	80	73	65	6	56	45	11	48	104	70	82	42	67	96	51	63	240	22	62		6	1749		2026-05-11 09:37:00		T	F	35	35	0	0	0.78
196			"base"	"interview"	2026-05-11 09:07:52	3	2	4	4	2	4	4	4	2	2	3	3	3	2	1	3	3	3	1	3	4	2	4	1	1	1	4	1	4	1	5	2	3	3	3	4	4	4	3	4	5	5	3	5	1	1	4	5	2	5	5	4	3	2	5	5	5	2	4	2	5	5	2		1		1	2	2	4	4	4	4	2	4	4	3	4	4	2	2	4	1	4	4	2	3	3	2	4	2	4	4	1	27	2	2	7	1	F	F	F	T	F	F	F	F			"Ingenieurbüro"	"24"		7	4	4	7	3	3	7	6	5	5	5	6	6	6	6	4	5	3	1	74	2	7	6	3	5	4	1	2	4	"Viele wissen nicht, wie man KI sinnvoll einsetzt und dass es eher ein Hilfsmittel als ein Ersatz ist. Viele wissen aber auch nicht wie man der KI Fragen oder Aufgaben stellen sollte damit diese die Aufgaben zum besten Ergebnis hin erfüllt. Außerdem sind zu viele Leute zu Naiv bei der KI Nutzung und denken das die KI viel eine normale Suchmaschine neutrale Informationen ausgibt. Jedoch gibt die KI oft die Meinung bei der sie ""denkt"" dass man diese Antwort oder dieses Ergebnis erziehlen will. Sie gibt mir Antworten bezogen auf meine vorherigen Interaktionen mit der KI und ist keinesfalls als eine neutrale Informationsquelle sondern immer mit skepsis zu behandeln."	"Nein, da die KI eine echte Mensch zu Mensch Interaktion nie ersetzen kann."	3	1	1	1	2	4	2	3	3	3	1	2	2	1	3	2	3	1	3	2	3	2	2	2	2	2	21	16	87	92	9	29	90	89	4	4	95	95	4	8	92	93	9	11	89	91	5	92	91	84	9	95	96	92	3	92	92	86	3	91	92	83	3	91	92	84	90	21	3	78	15	89	13	40	96	17	5	78	89	7	4	84	93	29	6	75	90	90	76	10	18	3	11	92	93	46	18	2	4	4	4	4	3	2	3	3	2	3	"2"	"4"	"3"	"1"	"2"	"1"	49	22	17	24	106	47	13	3	21	2	28	3	108	88	97	75	66	10	59	76	11	62	45	94	98	43	96	115	56	82	341	25	14		3	1999		2026-05-11 09:41:11		T	F	35	35	0	0	0.71
197			"base"	"interview"	2026-05-11 09:08:38	1	1	1	2	2	1	2	3	1	1	3	1	1	1	1	1	1	1	1	3	5	4	4	1	1	1	2	4	1	4	1	5	5	5	5	4	3	1	3	1	3	1	3	4	4	4	2	5	2	1	3	4	4	4	5	1	3	3	5	1	6	6	2		1		1	1	3	3	2	1	4	3	2	1	4	2	1	3	2	4	1	4	2	3	4	5	3	1	4	4	4	1	41	1	1	8	1	F	F	F	T	F	F	F	F			"technischer Zeichner"	"45"		1	1	4	1	1	5	1	1	5	4	3	3	3	4	3	3	5	5	1	20	1	7	6	4	3	5	2	3	3	"datenschutz scheint das größte problem im beruflichen umfeld zu sein.
ich denke auch dass KI unsere (soziale) gesellschaft völlig verändern wird. "	"nein, aber meine arbeit wird sich verändern."	2	1	1	1	3	5	3	1	1	1	3	4	4	2	4	4	1	3	3	2	1	4	2	1	3	1	67	17	65	66	73	12	32	43	12	12	54	53	16	44	31	26	12	54	22	28	27	93	64	27	49	85	86	64	12	86	82	53	14	82	82	31	15	91	90	25	100	1	6	80	81	20	20	11	92	12	11	91	44	44	21	43	37	81	14	32	97	94	1	1	70	1	11	90	91	101	26	1	1	1	2	3	1	1	3	1	1	1	"1"	"2"	"3"	"4"	"2"	"1"	2	6	6	97	24	4	8	3	12	2	12	1	64	67	53	56	46	6	30	42	4	41	26	76	61	33	59	86	46	59	113	27	6		2	1180		2026-05-11 09:28:19		T	F	35	35	0	0	1.36
198			"base"	"interview"	2026-05-11 09:09:33	1	1	1	1	1	1	1	3	1	1	2	2	1	1	1	1	1	1	1	1	5	4	4	1	1	1	5	3	5	1	5	3	4	4	4	3	3	3	5	2	4	2	3	4	2	3	3	4	5	4	4	3	3	1	5	4	4	2	2	5	7	7	2		1		1	2	1	1	1	1	4	1	1	3	2	1	1	4	1	4	1	3	2	2	3	4	2	2	1	3	5	1	38	1	1	7	1	F	F	F	T	F	F	F	F			"Automatisierungstechnik"	"39"		1	2	1	1	2	1	1	3	6	5	5	4	5	5	5	4	5	2	1	66	7	6	4	2	3	1	5	5	5	"Skepsis der Mitmenschen. Viele haben Angst ihren Job zu verlieren. 
Fake-Informationen (Fake-News oder Fake Bilder), da man kaum noch unterscheiden kann, was echt und was KI erzeugt wurde."	"Nein, da in unseren Bereich die KI nur einen Beitrag leisten kann, aber nicht vollständig ersetzen (zumindest aktuell). "	1	1	2	2	1	2	2	1	1	2	2	3	3	1	2	3	2	2	2	2	1	3	2	2	2	2	1	1	101	101	1	1	101	92	1	1	101	101	1	1	101	101	1	1	101	101	1	15	57	15	1	1	74	74	1	1	16	101	1	1	1	101	1	1	53	74	101	1	1	101	56	56	32	38	101	1	1	81	101	18	2	86	101	13	1	89	78	101	1	1	88	1	1	101	101	9	2	1	2	2	3	4	2	2	2	1	1	2	"2"	"4"	"3"	"1"	"2"	"1"	30	35	10	17	35	11	11	2	26	2	36	4	160	104	97	94	89	12	67	62	10	62	43	89	84	75	73	129	59	79	161	27	18		7	1820		2026-05-11 09:39:53		T	F	35	35	0	0	0.75
